"trial","dataset","model","score"
"0","moons","Random Forest","0.7"
"0","moons","Linear Discriminant Analysis","0.9"
"0","moons","NN","0.7"
"0","moons","NN + L2","1.0"
"0","moons","NN + Scale Invariant","0.9"
"0","circles","Random Forest","0.4"
"0","circles","Linear Discriminant Analysis","0.6"
"0","circles","NN","0.4"
"0","circles","NN + L2","0.5"
"0","circles","NN + Scale Invariant","0.5"
"0","linear","Random Forest","0.6"
"0","linear","Linear Discriminant Analysis","0.6"
"0","linear","NN","0.6"
"0","linear","NN + L2","0.5"
"0","linear","NN + Scale Invariant","0.6"
"1","moons","Random Forest","0.7"
"1","moons","Linear Discriminant Analysis","0.9"
"1","moons","NN","0.9"
"1","moons","NN + L2","0.9"
"1","moons","NN + Scale Invariant","0.9"
"1","circles","Random Forest","0.7"
"1","circles","Linear Discriminant Analysis","0.4"
"1","circles","NN","0.4"
"1","circles","NN + L2","0.6"
"1","circles","NN + Scale Invariant","0.3"
"1","linear","Random Forest","0.9"
"1","linear","Linear Discriminant Analysis","0.9"
"1","linear","NN","1.0"
"1","linear","NN + L2","1.0"
"1","linear","NN + Scale Invariant","0.9"
"2","moons","Random Forest","0.8"
"2","moons","Linear Discriminant Analysis","0.8"
"2","moons","NN","0.8"
"2","moons","NN + L2","0.8"
"2","moons","NN + Scale Invariant","0.7"
"2","circles","Random Forest","0.4"
"2","circles","Linear Discriminant Analysis","0.5"
"2","circles","NN","0.5"
"2","circles","NN + L2","0.4"
"2","circles","NN + Scale Invariant","0.5"
"2","linear","Random Forest","1.0"
"2","linear","Linear Discriminant Analysis","0.9"
"2","linear","NN","1.0"
"2","linear","NN + L2","0.9"
"2","linear","NN + Scale Invariant","1.0"
"3","moons","Random Forest","0.9"
"3","moons","Linear Discriminant Analysis","0.9"
"3","moons","NN","0.9"
"3","moons","NN + L2","0.8"
"3","moons","NN + Scale Invariant","0.9"
"3","circles","Random Forest","0.4"
"3","circles","Linear Discriminant Analysis","0.3"
"3","circles","NN","0.3"
"3","circles","NN + L2","0.3"
"3","circles","NN + Scale Invariant","0.2"
"3","linear","Random Forest","0.6"
"3","linear","Linear Discriminant Analysis","0.6"
"3","linear","NN","0.7"
"3","linear","NN + L2","0.6"
"3","linear","NN + Scale Invariant","0.6"
"4","moons","Random Forest","0.5"
"4","moons","Linear Discriminant Analysis","0.6"
"4","moons","NN","0.6"
"4","moons","NN + L2","0.6"
"4","moons","NN + Scale Invariant","0.5"
"4","circles","Random Forest","0.7"
"4","circles","Linear Discriminant Analysis","0.2"
"4","circles","NN","0.4"
"4","circles","NN + L2","0.5"
"4","circles","NN + Scale Invariant","0.8"
"4","linear","Random Forest","0.5"
"4","linear","Linear Discriminant Analysis","0.6"
"4","linear","NN","0.5"
"4","linear","NN + L2","0.4"
"4","linear","NN + Scale Invariant","0.4"
"5","moons","Random Forest","0.7"
"5","moons","Linear Discriminant Analysis","0.7"
"5","moons","NN","0.8"
"5","moons","NN + L2","0.8"
"5","moons","NN + Scale Invariant","0.7"
"5","circles","Random Forest","0.5"
"5","circles","Linear Discriminant Analysis","0.5"
"5","circles","NN","0.5"
"5","circles","NN + L2","0.4"
"5","circles","NN + Scale Invariant","0.5"
"5","linear","Random Forest","0.5"
"5","linear","Linear Discriminant Analysis","0.9"
"5","linear","NN","0.7"
"5","linear","NN + L2","0.5"
"5","linear","NN + Scale Invariant","0.9"
"6","moons","Random Forest","0.7"
"6","moons","Linear Discriminant Analysis","0.7"
"6","moons","NN","0.7"
"6","moons","NN + L2","0.7"
"6","moons","NN + Scale Invariant","0.7"
"6","circles","Random Forest","0.7"
"6","circles","Linear Discriminant Analysis","0.5"
"6","circles","NN","0.4"
"6","circles","NN + L2","0.6"
"6","circles","NN + Scale Invariant","0.5"
"6","linear","Random Forest","0.7"
"6","linear","Linear Discriminant Analysis","0.8"
"6","linear","NN","0.8"
"6","linear","NN + L2","0.9"
"6","linear","NN + Scale Invariant","0.8"
"7","moons","Random Forest","0.6"
"7","moons","Linear Discriminant Analysis","0.7"
"7","moons","NN","0.7"
"7","moons","NN + L2","0.7"
"7","moons","NN + Scale Invariant","0.7"
"7","circles","Random Forest","0.7"
"7","circles","Linear Discriminant Analysis","0.2"
"7","circles","NN","0.4"
"7","circles","NN + L2","0.4"
"7","circles","NN + Scale Invariant","0.4"
"7","linear","Random Forest","0.8"
"7","linear","Linear Discriminant Analysis","0.8"
"7","linear","NN","0.8"
"7","linear","NN + L2","0.8"
"7","linear","NN + Scale Invariant","0.9"
"8","moons","Random Forest","0.7"
"8","moons","Linear Discriminant Analysis","0.9"
"8","moons","NN","0.7"
"8","moons","NN + L2","0.9"
"8","moons","NN + Scale Invariant","0.9"
"8","circles","Random Forest","0.8"
"8","circles","Linear Discriminant Analysis","0.4"
"8","circles","NN","0.5"
"8","circles","NN + L2","0.4"
"8","circles","NN + Scale Invariant","0.6"
"8","linear","Random Forest","0.9"
"8","linear","Linear Discriminant Analysis","0.9"
"8","linear","NN","0.9"
"8","linear","NN + L2","0.8"
