"trial","dataset","model","missclassification"
"0","moons","NN","0.175"
"0","moons","NN + L2","0.15"
"0","moons","NN + Scale","0.15"
"0","moons","NN + Offset","0.2"
"0","circles","NN","0.4"
"0","circles","NN + L2","0.425"
"0","circles","NN + Scale","0.575"
"0","circles","NN + Offset","0.525"
"0","linear","NN","0.2"
"0","linear","NN + L2","0.15"
"0","linear","NN + Scale","0.2"
"0","linear","NN + Offset","0.275"
"0","xor","NN","0.125"
"0","xor","NN + L2","0.3"
"0","xor","NN + Scale","0.125"
"0","xor","NN + Offset","0.175"
"1","moons","NN","0.175"
"1","moons","NN + L2","0.15"
"1","moons","NN + Scale","0.15"
"1","moons","NN + Offset","0.15"
"1","circles","NN","0.45"
"1","circles","NN + L2","0.5"
"1","circles","NN + Scale","0.525"
"1","circles","NN + Offset","0.325"
"1","linear","NN","0.175"
"1","linear","NN + L2","0.225"
"1","linear","NN + Scale","0.175"
"1","linear","NN + Offset","0.325"
"1","xor","NN","0.275"
"1","xor","NN + L2","0.2"
"1","xor","NN + Scale","0.2"
"1","xor","NN + Offset","0.225"
"2","moons","NN","0.25"
"2","moons","NN + L2","0.275"
"2","moons","NN + Scale","0.275"
"2","moons","NN + Offset","0.275"
"2","circles","NN","0.375"
"2","circles","NN + L2","0.175"
"2","circles","NN + Scale","0.475"
"2","circles","NN + Offset","0.2"
"2","linear","NN","0.15"
"2","linear","NN + L2","0.1"
"2","linear","NN + Scale","0.15"
"2","linear","NN + Offset","0.275"
"2","xor","NN","0.1"
"2","xor","NN + L2","0.3"
"2","xor","NN + Scale","0.175"
"2","xor","NN + Offset","0.15"
"3","moons","NN","0.125"
"3","moons","NN + L2","0.175"
"3","moons","NN + Scale","0.175"
"3","moons","NN + Offset","0.175"
"3","circles","NN","0.275"
"3","circles","NN + L2","0.375"
"3","circles","NN + Scale","0.5"
"3","circles","NN + Offset","0.25"
"3","linear","NN","0.175"
"3","linear","NN + L2","0.15"
"3","linear","NN + Scale","0.2"
"3","linear","NN + Offset","0.25"
"3","xor","NN","0.25"
"3","xor","NN + L2","0.25"
"3","xor","NN + Scale","0.275"
"3","xor","NN + Offset","0.225"
