"trial","dataset","model","score"
"0","moons","Random Forest","0.9"
"0","moons","Linear Discriminant Analysis","0.8"
"0","moons","NN","0.775"
"0","moons","NN + L2","0.775"
"0","moons","NN + Scale Invariant","0.8"
"0","circles","Random Forest","0.75"
"0","circles","Linear Discriminant Analysis","0.5"
"0","circles","NN","0.65"
"0","circles","NN + L2","0.625"
"0","circles","NN + Scale Invariant","0.725"
"0","linear","Random Forest","0.85"
"0","linear","Linear Discriminant Analysis","0.85"
"0","linear","NN","0.825"
"0","linear","NN + L2","0.775"
"0","linear","NN + Scale Invariant","0.85"
"1","moons","Random Forest","0.85"
"1","moons","Linear Discriminant Analysis","0.825"
"1","moons","NN","0.825"
"1","moons","NN + L2","0.825"
"1","moons","NN + Scale Invariant","0.825"
"1","circles","Random Forest","0.725"
"1","circles","Linear Discriminant Analysis","0.525"
"1","circles","NN","0.65"
"1","circles","NN + L2","0.75"
"1","circles","NN + Scale Invariant","0.625"
"1","linear","Random Forest","0.775"
"1","linear","Linear Discriminant Analysis","0.85"
"1","linear","NN","0.85"
"1","linear","NN + L2","0.825"
"1","linear","NN + Scale Invariant","0.8"
"2","moons","Random Forest","0.875"
"2","moons","Linear Discriminant Analysis","0.85"
"2","moons","NN","0.85"
"2","moons","NN + L2","0.8"
"2","moons","NN + Scale Invariant","0.85"
"2","circles","Random Forest","0.825"
"2","circles","Linear Discriminant Analysis","0.45"
"2","circles","NN","0.65"
"2","circles","NN + L2","0.675"
"2","circles","NN + Scale Invariant","0.55"
"2","linear","Random Forest","0.825"
"2","linear","Linear Discriminant Analysis","0.8"
"2","linear","NN","0.825"
"2","linear","NN + L2","0.8"
"2","linear","NN + Scale Invariant","0.8"
"3","moons","Random Forest","0.825"
"3","moons","Linear Discriminant Analysis","0.8"
"3","moons","NN","0.8"
"3","moons","NN + L2","0.775"
"3","moons","NN + Scale Invariant","0.8"
"3","circles","Random Forest","0.9"
"3","circles","Linear Discriminant Analysis","0.3"
"3","circles","NN","0.5"
"3","circles","NN + L2","0.375"
"3","circles","NN + Scale Invariant","0.425"
"3","linear","Random Forest","0.85"
"3","linear","Linear Discriminant Analysis","0.8"
"3","linear","NN","0.85"
"3","linear","NN + L2","0.8"
"3","linear","NN + Scale Invariant","0.8"
"4","moons","Random Forest","0.825"
"4","moons","Linear Discriminant Analysis","0.8"
