"trial","dataset","model","missclassification"
"0","moons","NN","0.15"
"0","moons","NN + L2","0.125"
"0","moons","NN + Scale","0.125"
"0","moons","NN + Offset","0.15"
"0","circles","NN","0.25"
"0","circles","NN + L2","0.225"
"0","circles","NN + Scale","0.35"
"0","circles","NN + Offset","0.25"
"0","linear","NN","0.175"
"0","linear","NN + L2","0.1"
"0","linear","NN + Scale","0.125"
"0","linear","NN + Offset","0.1"
"0","xor","NN","0.15"
"0","xor","NN + L2","0.2"
"0","xor","NN + Scale","0.125"
"0","xor","NN + Offset","0.175"
"1","moons","NN","0.15"
"1","moons","NN + L2","0.125"
"1","moons","NN + Scale","0.125"
"1","moons","NN + Offset","0.125"
"1","circles","NN","0.3"
"1","circles","NN + L2","0.325"
"1","circles","NN + Scale","0.6"
"1","circles","NN + Offset","0.375"
"1","linear","NN","0.1"
"1","linear","NN + L2","0.15"
"1","linear","NN + Scale","0.125"
"1","linear","NN + Offset","0.125"
"1","xor","NN","0.125"
"1","xor","NN + L2","0.1"
"1","xor","NN + Scale","0.1"
"1","xor","NN + Offset","0.2"
"2","moons","NN","0.15"
"2","moons","NN + L2","0.15"
"2","moons","NN + Scale","0.175"
"2","moons","NN + Offset","0.175"
"2","circles","NN","0.325"
"2","circles","NN + L2","0.5"
"2","circles","NN + Scale","0.525"
"2","circles","NN + Offset","0.375"
"2","linear","NN","0.125"
"2","linear","NN + L2","0.15"
"2","linear","NN + Scale","0.125"
"2","linear","NN + Offset","0.1"
"2","xor","NN","0.275"
"2","xor","NN + L2","0.325"
"2","xor","NN + Scale","0.525"
"2","xor","NN + Offset","0.25"
"3","moons","NN","0.175"
"3","moons","NN + L2","0.2"
"3","moons","NN + Scale","0.225"
"3","moons","NN + Offset","0.175"
"3","circles","NN","0.125"
"3","circles","NN + L2","0.275"
"3","circles","NN + Scale","0.125"
"3","circles","NN + Offset","0.25"
"3","linear","NN","0.05"
"3","linear","NN + L2","0.05"
"3","linear","NN + Scale","0.05"
"3","linear","NN + Offset","0.075"
"3","xor","NN","0.275"
"3","xor","NN + L2","0.225"
"3","xor","NN + Scale","0.35"
"3","xor","NN + Offset","0.25"
"4","moons","NN","0.125"
"4","moons","NN + L2","0.125"
"4","moons","NN + Scale","0.125"
"4","moons","NN + Offset","0.125"
"4","circles","NN","0.125"
"4","circles","NN + L2","0.2"
