"trial","dataset","model","missclassification"
"0","moons","Random Forest","0.175"
"0","moons","Linear Discriminant Analysis","0.175"
"0","moons","NN","0.225"
"0","moons","NN + L2","0.625"
"0","moons","NN + Scale Invariant","0.175"
"0","moons","NN + Offset Invariant","0.2"
"0","circles","Random Forest","0.175"
"0","circles","Linear Discriminant Analysis","0.55"
"0","circles","NN","0.475"
"0","circles","NN + L2","0.525"
"0","circles","NN + Scale Invariant","0.4"
"0","circles","NN + Offset Invariant","0.525"
"0","linear","Random Forest","0.05"
"0","linear","Linear Discriminant Analysis","0.075"
"0","linear","NN","0.05"
"0","linear","NN + L2","0.65"
"0","linear","NN + Scale Invariant","0.1"
"0","linear","NN + Offset Invariant","0.075"
"0","xor","Random Forest","0.25"
"0","xor","Linear Discriminant Analysis","0.425"
"0","xor","NN","0.175"
"0","xor","NN + L2","0.6"
"0","xor","NN + Scale Invariant","0.15"
"0","xor","NN + Offset Invariant","0.2"
"1","moons","Random Forest","0.175"
"1","moons","Linear Discriminant Analysis","0.175"
"1","moons","NN","0.25"
"1","moons","NN + L2","0.55"
"1","moons","NN + Scale Invariant","0.2"
"1","moons","NN + Offset Invariant","0.2"
"1","circles","Random Forest","0.3"
"1","circles","Linear Discriminant Analysis","0.6"
"1","circles","NN","0.425"
"1","circles","NN + L2","0.525"
"1","circles","NN + Scale Invariant","0.45"
"1","circles","NN + Offset Invariant","0.525"
"1","linear","Random Forest","0.225"
"1","linear","Linear Discriminant Analysis","0.175"
"1","linear","NN","0.175"
"1","linear","NN + L2","0.5"
"1","linear","NN + Scale Invariant","0.2"
"1","linear","NN + Offset Invariant","0.2"
"1","xor","Random Forest","0.175"
"1","xor","Linear Discriminant Analysis","0.525"
"1","xor","NN","0.2"
"1","xor","NN + L2","0.525"
"1","xor","NN + Scale Invariant","0.175"
"1","xor","NN + Offset Invariant","0.225"
"2","moons","Random Forest","0.2"
"2","moons","Linear Discriminant Analysis","0.15"
"2","moons","NN","0.15"
"2","moons","NN + L2","0.55"
"2","moons","NN + Scale Invariant","0.15"
"2","moons","NN + Offset Invariant","0.2"
"2","circles","Random Forest","0.075"
"2","circles","Linear Discriminant Analysis","0.625"
"2","circles","NN","0.375"
"2","circles","NN + L2","0.5"
"2","circles","NN + Scale Invariant","0.375"
"2","circles","NN + Offset Invariant","0.225"
"2","linear","Random Forest","0.375"
"2","linear","Linear Discriminant Analysis","0.225"
"2","linear","NN","0.2"
"2","linear","NN + L2","0.475"
"2","linear","NN + Scale Invariant","0.225"
"2","linear","NN + Offset Invariant","0.225"
"2","xor","Random Forest","0.25"
"2","xor","Linear Discriminant Analysis","0.325"
"2","xor","NN","0.325"
"2","xor","NN + L2","0.325"
"2","xor","NN + Scale Invariant","0.275"
"2","xor","NN + Offset Invariant","0.275"
"3","moons","Random Forest","0.15"
"3","moons","Linear Discriminant Analysis","0.225"
"3","moons","NN","0.225"
"3","moons","NN + L2","0.575"
"3","moons","NN + Scale Invariant","0.225"
